datetime,activity window,fps,jank
2023-05-23 15-28-28,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-28-34,com.jx.launcher/com.jx.launcher.Launcher,0,0
2023-05-23 15-28-39,com.jx.launcher/com.jx.launcher.Launcher,0,0
2023-05-23 15-28-45,com.yingyonghui.market/com.yingyonghui.market.ui.MainActivity,0,0
2023-05-23 15-28-50,com.divo.phone/com.divo.phone.MainActivity,2,1
