datetime,activity window,fps,jank
2023-05-23 15-33-30,com.yingyonghui.market/com.yingyonghui.market.dialog.SelfUpdateActivityDialog,0,0
2023-05-23 15-33-35,com.yingyonghui.market/com.yingyonghui.market.dialog.SelfUpdateActivityDialog,0,0
2023-05-23 15-33-40,com.yingyonghui.market/com.yingyonghui.market.dialog.SelfUpdateActivityDialog,0,0
2023-05-23 15-33-45,com.yingyonghui.market/com.yingyonghui.market.dialog.SelfUpdateActivityDialog,0,0
