datetime,packagename,uid,uid_total(KB),uid_total_packets,rx(KB),rx_packets,tx(KB),tx_packets,fg(KB),bg(KB),lo(KB)
2023-05-23 15-33-29,com.eg.android.AlipayGphone,10071,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-33-34,com.eg.android.AlipayGphone,10071,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-33-39,com.eg.android.AlipayGphone,10071,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-33-44,com.eg.android.AlipayGphone,10071,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-33-49,com.eg.android.AlipayGphone,10071,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
